Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Accident_severity
18-30,Male,High school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,2
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Collision with roadside objects,Going straight,2
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,1
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Rollover,Going straight,2
18-30,Male,High school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
Over 51,Male,Elementary school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,2
31-50,Male,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,2
18-30,Male,High school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,2
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Elementary school,Other,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Elementary school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
Over 51,Male,Elementary school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,1
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,2
Under 18,Male,High school,Owner,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,1
31-50,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,1
Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,1
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,0
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,0
18-30,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,2
18-30,Male,Elementary school,Owner,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,2
Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,2
Over 51,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
Over 51,Male,Junior high school,Employee,Above 10yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
Over 51,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Normal,Collision with roadside objects,Going straight,2
Under 18,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,1
Under 18,Male,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,1
Under 18,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,1
Under 18,Male,Elementary school,Employee,5-10yr,One way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,1
Over 51,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Turnover,2
31-50,Male,Elementary school,Employee,5-10yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,2
18-30,Male,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,2
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,2
18-30,Male,Elementary school,Employee,Above 10yr,other,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,2
18-30,Male,Elementary school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,2
18-30,Male,Junior high school,Employee,2-5yr,other,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,1
Over 51,Male,Elementary school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Elementary school,Employee,1-2yr,other,No junction,Other,Daylight,Normal,Vehicle with vehicle collision,Turnover,2
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Elementary school,Owner,1-2yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,2
Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,2
18-30,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,2
31-50,Male,Junior high school,Employee,2-5yr,other,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,1
31-50,Male,Junior high school,Owner,Below 1yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Reversing,2
31-50,Male,High school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,1
Under 18,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,1
Under 18,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Parked,1
18-30,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,2
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
Under 18,Male,Junior high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Stopping,2
18-30,Male,Illiterate,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Overtaking,2
31-50,Male,Junior high school,Employee,Below 1yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,2
18-30,Male,Elementary school,Employee,2-5yr,Double carriageway (median),No junction,Earth roads,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,2
Under 18,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,2
Under 18,Male,Junior high school,Employee,Above 10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,2
31-50,Male,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
Over 51,Male,Junior high school,Employee,unknown,Undivided Two way,Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
Over 51,Male,High school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Turnover,2
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,2
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,2
Over 51,Male,High school,Owner,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,2
Over 51,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,2
Over 51,Male,Junior high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Above high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,2
18-30,Male,Junior high school,Employee,5-10yr,other,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,Below 1yr,One way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,2
18-30,Male,Above high school,Employee,5-10yr,Undivided Two way,Y Shape,Other,Daylight,Normal,Collision with pedestrians,Moving Backward,2
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,2
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,1
18-30,Male,Junior high school,Owner,2-5yr,other,No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,1
18-30,Male,Junior high school,Owner,2-5yr,One way,No junction,Asphalt roads,Darkness - no lighting,Windy,Vehicle with vehicle collision,Going straight,2
Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,O Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,1
18-30,Male,Junior high school,Employee,1-2yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Other,Darkness - lights lit,Raining,Collision with roadside objects,Reversing,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Raining,Collision with pedestrians,Going straight,2
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Owner,2-5yr,Undivided Two way,No junction,Asphalt roads with some distress,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Owner,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
Over 51,Male,High school,Employee,1-2yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Windy,Collision with pedestrians,Moving Backward,2
18-30,Male,High school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,2
31-50,Male,Above high school,Other,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Turnover,2
31-50,Male,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Reversing,2
Over 51,Male,Elementary school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,1
18-30,Male,High school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Reversing,1
18-30,Male,High school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,1
18-30,Male,High school,Employee,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,1
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,1
18-30,Male,Above high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,Going straight,2
Over 51,Male,Above high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
Under 18,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Illiterate,Employee,unknown,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,2
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,2
Over 51,Male,Junior high school,Employee,Above 10yr,other,Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,2
18-30,Female,High school,Employee,1-2yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,1
Over 51,Female,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,1
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,2
18-30,Male,Junior high school,Employee,Above 10yr,One way,Y Shape,Other,Daylight,Raining,Vehicle with vehicle collision,Moving Backward,2
31-50,Male,Elementary school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,2
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Other,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,2
31-50,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Turnover,2
Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,1
18-30,Male,Above high school,Employee,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,2
Over 51,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,2
Over 51,Male,High school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,2
18-30,Male,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Darkness - lights lit,Normal,Collision with pedestrians,Turnover,2
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
